ID	Posted at	Screen name	Text	date	time	nano
789621390542594048	2016-10-22 00:16:24 +0000	jgreid	XJ: Pilot study 141k NIFTY samples throughout China, broad geographic distribution of collection - covers whole of China. #ASHG16	2016-10-22	1624	+0000
789621282849497088	2016-10-22 00:15:58 +0000	blueyedgenes	"X. Jin presenting on Chinese Millionome Project, demonstrating there is no word that cannot be ""-ome'd"" #ASHG16"	2016-10-22	1558	+0000
789621278873362432	2016-10-22 00:15:57 +0000	thatdnaguy	#ASHG16 XJ: Pilot of 141k NIPT samples thorughout China.	2016-10-22	1557	+0000
789621274964209665	2016-10-22 00:15:57 +0000	shramdas	XJ: Fetal DNA 5-15% pf sample in maternal cell-free DNA; DNA fragment size 150-200bp #ashg16	2016-10-22	1557	+0000
789621243175501825	2016-10-22 00:15:49 +0000	GeneticsGSA	Jin: Collected WGS data from NIPT samples. #ASHG16	2016-10-22	1549	+0000
789621190063251457	2016-10-22 00:15:36 +0000	thatdnaguy	#ASHG16 XJ: Fragments are 150bp - 200 bp. 5-8M reads for 0.6x - 0.1x. Read length 35bp or 49bp.	2016-10-22	1536	+0000
789621111076052992	2016-10-22 00:15:17 +0000	jgreid	XJ: https://t.co/PpC06QIWE6 -- screening for aneuploidies via CNVs #ASHG16	2016-10-22	1517	+0000
789621077970268160	2016-10-22 00:15:10 +0000	GeneticsGSA	Jin: Three major methodologies for non-invasive prenatal testing (NIPT). 3M/5M total wordlwide NIPT done in China. #ASHG16	2016-10-22	1510	+0000
789621040775360512	2016-10-22 00:15:01 +0000	thatdnaguy	#ASHG16 XJ: for WGS NIPT use low-depth sequencing. NIFTY test https://t.co/oRiJST7e8l Mixed samples 5-15% fetal fraction.	2016-10-22	1501	+0000
789620908684173312	2016-10-22 00:14:29 +0000	jgreid	XJ: NIPT methods - WGS, targeted loci, SNP-based seq #ASHG16	2016-10-22	1429	+0000
789620705180602368	2016-10-22 00:13:41 +0000	yluo86	"Jin:  3/5 million non-invasive  prenatal testing is done in china.
 #ashg16"	2016-10-22	1341	+0000
789620688218906624	2016-10-22 00:13:37 +0000	jgreid	XJ: Estimated ~5M NIPT tests around the world -- ~3M in China, ~1.5M BGI #ASHG16	2016-10-22	1337	+0000
789620420781703168	2016-10-22 00:12:33 +0000	thatdnaguy	#ASHG16 XJ: Est number of NIPT test worldwide ~5M overall. ~3M in China. 1.5M by BGI.	2016-10-22	1233	+0000
789620339240165376	2016-10-22 00:12:13 +0000	GeneticsGSA	Jin: Many large-scale genome projects, limited Asian population datasets. #ASHG16	2016-10-22	1213	+0000
789620215302725632	2016-10-22 00:11:44 +0000	jgreid	XJ: Wher are behind in terms of sequencing samples of Asian ancestry #ASHG16	2016-10-22	1144	+0000
789620151897522176	2016-10-22 00:11:29 +0000	thatdnaguy	#ASHG16 XJ: Not so many have WGS sequencing. Many more are WES. Chinese 20% of world population. Far less than 20% representation	2016-10-22	1129	+0000
789620129986322432	2016-10-22 00:11:24 +0000	busseykj	Xin Jin: Discovery & challenges of low pass WGS of  >140K genomes. #ASHG16	2016-10-22	1124	+0000
789620117164392449	2016-10-22 00:11:21 +0000	jgreid	XJ: All published large-scale projects have limited numbers of samples from Asian (particularly Chinese) populations #ASHG16	2016-10-22	1121	+0000
789620065318543360	2016-10-22 00:11:08 +0000	avery_ayers	talk on 140k low pass WGS of Chinese people from Xin Jin (BGI) up next #ASHG16 (this is the future)	2016-10-22	1108	+0000
789620026055667713	2016-10-22 00:10:59 +0000	michaelhoffman	XJ: 1000G projects, Genomics England, ExAC, HLI datasets all have limited Asian populations #ASHG16	2016-10-22	1059	+0000
789620018401214464	2016-10-22 00:10:57 +0000	thatdnaguy	#ASHG16 XJ: other projects have limited asian representation	2016-10-22	1057	+0000
789619914101301252	2016-10-22 00:10:32 +0000	shramdas	Xin Jin: Low-pass WGS of over 140000 samples from China. #ashg16	2016-10-22	1032	+0000
789619898825736192	2016-10-22 00:10:28 +0000	jgreid	XJ: Why are we doing this large-scale project in China? #ASHG16	2016-10-22	1028	+0000
789619893775704064	2016-10-22 00:10:27 +0000	GeneticsGSA	Jin: Very large dataset from the Chinese population. #ASHG16	2016-10-22	1027	+0000
789619862473670656	2016-10-22 00:10:20 +0000	thatdnaguy	#ASHG16 XJ: Xin Jin from BGI. Disc and challenges from 140k chinese low pass sequences	2016-10-22	1020	+0000
789619831297314817	2016-10-22 00:10:12 +0000	michaelhoffman	Now: Xin Jin: Discovery and challenges in low-pass whole genome sequencing of over 140,000 individuals from throughout China #ASHG16	2016-10-22	1012	+0000
789619811252736001	2016-10-22 00:10:08 +0000	GeneticsGSA	Next up: Xin Jin on insights gained from low pass sequencing of 140,000 genomes. #ASHG16	2016-10-22	1008	+0000
789619766520647680	2016-10-22 00:09:57 +0000	jgreid	Xin Jin (Chinese Millionome Consortium) on Discovery & challenges in low-pass WGS of over 140k individuals from throughout China. #ASHG16	2016-10-22	957	+0000
