ID,Posted at,Screen name,Text
789815353006317572,2016-10-22 13:07:08 +0000,EvolvingJuan,"RT @jxchong: So BGI yeah you have big dataset, what about data sharing with wider research community??? #ASHG16"
789814427830870016,2016-10-22 13:03:28 +0000,stuartmanning,RT @erlichya: Holding a smidgION. Really cool! #ASHG16 https://t.co/fgmwQFZdG9
789813340944142336,2016-10-22 12:59:09 +0000,Haseebrahim3,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789813102241906690,2016-10-22 12:58:12 +0000,Umeshacharya44,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/6V6owmlE27
789812348127055872,2016-10-22 12:55:12 +0000,K8lpy,RT @tgilhou: Day 3 of #ASHG16 at booth 224. Last chance to see the #opensource data and tools from the @Allen_Institute (ie dev… https://t.co/cDfhsgmCQ0
789812006979117056,2016-10-22 12:53:51 +0000,klmgust,RT @tgilhou: Day 3 of #ASHG16 at booth 224. Last chance to see the #opensource data and tools from the @Allen_Institute (ie dev… https://t.co/cDfhsgmCQ0
789811796836319233,2016-10-22 12:53:01 +0000,TPCaruso,RT @agnieszkaml: Meet a lot more friends for rare diseases using Matchmaker Exchange internationally. #ASHG16
789811601067106304,2016-10-22 12:52:14 +0000,TPCaruso,RT @agnieszkaml: PhenomeCentral a matchmaker for finding similar patients #ASHG16
789811583153082368,2016-10-22 12:52:10 +0000,J0shFurey,RT @thatdnaguy: #ASHG16 RG: Want to measure genetic effects on chromatin state. Use ATAC-Seq with TN5 transposase [ available on AddGene... ]
789810883304235008,2016-10-22 12:49:23 +0000,jtung5,"RT @LB_Barreiro: Data from https://t.co/MFcPLObGlV Contact me if you would like to load your own data #ASHG16
https://t.co/A7D41Ufc91"
789810555452268544,2016-10-22 12:48:05 +0000,dlandrabeachy,RT @tgilhou: Day 3 of #ASHG16 at booth 224. Last chance to see the #opensource data and tools from the @Allen_Institute (ie dev… https://t.co/cDfhsgmCQ0
789810114156912640,2016-10-22 12:46:19 +0000,MylikEW_21,RT @tgilhou: Day 3 of #ASHG16 at booth 224. Last chance to see the #opensource data and tools from the @Allen_Institute (ie dev… https://t.co/cDfhsgmCQ0
789808970940583937,2016-10-22 12:41:47 +0000,hakyim,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789808764782346244,2016-10-22 12:40:58 +0000,iamcauli,RT @Magda_Skipper: Bing Ren shows evidence that promoters may act as distal control elements of other genes #ASHG16
789808002694086656,2016-10-22 12:37:56 +0000,ayazsiddiqi,RT @tgilhou: Day 3 of #ASHG16 at booth 224. Last chance to see the #opensource data and tools from the @Allen_Institute (ie dev… https://t.co/cDfhsgmCQ0
789807669909590016,2016-10-22 12:36:37 +0000,ayazsiddiqi,RT @thatdnaguy: #ASHG16 RG: Want to measure genetic effects on chromatin state. Use ATAC-Seq with TN5 transposase [ available on AddGene... ]
789807253037551621,2016-10-22 12:34:57 +0000,lizzbeyotch,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/6V6owmlE27
789806399324729344,2016-10-22 12:31:34 +0000,_anyaprince,RT @NatureGenet: Congrats to the #ASHG16 Advocacy Awardees .@SenCowan & Bev Heim-Myers! Recognized for working to prevent #genetic #discrimination in Canada
789806239760932865,2016-10-22 12:30:56 +0000,patricioalegre,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789805824063471616,2016-10-22 12:29:16 +0000,DrKhouryCDC,Cascade Screening for Tier 1 Adult Genetic Conditions:  An Idea Whose Time Has Come! Watch VIDEO.… https://t.co/6iA0GZE9St
789802393173106688,2016-10-22 12:15:39 +0000,giorgiopea,RT @iontorrent: Algorithmically optimized gene selection for genomic disease studies. #ASHG16 Full Poster DOWNLOAD… https://t.co/Qv0XXvKGV5
789801735132819456,2016-10-22 12:13:02 +0000,iosif_lazaridis,Leaving the very well organized #ashg16 and beautiful Vancouver
789799950062411776,2016-10-22 12:05:56 +0000,Terranganation,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/6V6owmlE27
789799668637114368,2016-10-22 12:04:49 +0000,NeilFlochMD,RT @CellPressNews: Understanding #celiac disease by #genomics @TrendsGenetics #ASHG16 https://t.co/qO8i1CJUaq
789797975430144000,2016-10-22 11:58:05 +0000,SeqComplete,"Top story #ASHG16: Jessica Chong on Twitter: ""Frustrated-We just finished talk … https://t.co/KnLHPg3hwt, see more https://t.co/QOb0T4lSIk"
789797092625641474,2016-10-22 11:54:35 +0000,A_Markel7871,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789796958269345792,2016-10-22 11:54:03 +0000,Agilent,RT @GreenwoodGenCtr: Dr. Ray Louie is sharing GGC's experience with #WES analysis @agilent @cartagenia Room 17 1PST #ASHG16 https://t.co/PSw6dRecjl
789795637432881154,2016-10-22 11:48:48 +0000,withspin,"RT @jxchong: So BGI yeah you have big dataset, what about data sharing with wider research community??? #ASHG16"
789795219222958080,2016-10-22 11:47:08 +0000,withspin,RT @WiringTheBrain: The Genetics of Neurodevelopmental Disorders now out on ebook! https://t.co/lCVCPhYhst #ASHG16 https://t.co/L0HZmtQTx5
789794753135177728,2016-10-22 11:45:17 +0000,keomogeland,обслуживание гбо #ASHG16 https://t.co/6BFAa6vBHw
789793287301373952,2016-10-22 11:39:27 +0000,LB_Barreiro,"Data from https://t.co/MFcPLObGlV Contact me if you would like to load your own data #ASHG16
https://t.co/A7D41Ufc91"
789792592779149312,2016-10-22 11:36:42 +0000,ayazsiddiqi,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789791696909430784,2016-10-22 11:33:08 +0000,henrygeenature,RT @NatureGenet: Congrats to the #ASHG16 Advocacy Awardees .@SenCowan & Bev Heim-Myers! Recognized for working to prevent #genetic #discrimination in Canada
789791566453940224,2016-10-22 11:32:37 +0000,laure_albertini,RT @ELS_Genetics: Not in Vancouver for #ASHG16? No problem! Explore our virtual booth with featured #Genetics & #Genomics titles here: https://t.co/TM5Sm6b2me
789791245157539840,2016-10-22 11:31:21 +0000,Ramharmony,Sad to leave but ready to go home. Here's to a great #ASHG16 in #Vancouver
789785944283119616,2016-10-22 11:10:17 +0000,mpvazquez,"RT @scilahn: Have iPhone, will sequence with @nanopore smidgION incredible how small it is! #ASHG16 #NGS https://t.co/whvJvcUSm5"
789785812904841216,2016-10-22 11:09:45 +0000,LB_Barreiro,Data from: Genetic Ancestry & Natural Selection Drive Pop Diffs in Immune Response https://t.co/MFcPLObGlV happy to load your data #ASHG16
789785397811372032,2016-10-22 11:08:06 +0000,kshameer,"RT @EricTopol: Crowdsourced personal genomes: update on DNA Land @dl1dl1, already w/ 32,000 people https://t.co/1CKYDhKWiK #ASHG16 https://t.co/r28n0H9zFO"
789785259621646336,2016-10-22 11:07:34 +0000,gtyrelle,RT @DrKhouryCDC: Check out latest information & publications on health impact of human & pathogen genomics. https://t.co/tqAR4g4HaP… https://t.co/7nWUbNW8cc
789783857406971904,2016-10-22 11:01:59 +0000,nitalvitasari,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789783782681444352,2016-10-22 11:01:41 +0000,TheACMG,"Don’t forget to stop by @TheACMG booth #418 before #ASHG16 ends. Resources, publications and tools you can use in your career."
789778601751240704,2016-10-22 10:41:06 +0000,glyn_dk,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789777825100402688,2016-10-22 10:38:01 +0000,NeRDlabPitt,"RT @ElenaSorokin: Breaking news at #ASHG16 : Dan MacArthur on gnomAD, w. 120K whole exomes, 15K genomes; discovery of 159M novel variants incl. 300K PTVs"
789777271003512832,2016-10-22 10:35:49 +0000,WiringTheBrain,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789777260735762432,2016-10-22 10:35:46 +0000,WiringTheBrain,"RT @ElenaSorokin: Breaking news at #ASHG16 : Dan MacArthur on gnomAD, w. 120K whole exomes, 15K genomes; discovery of 159M novel variants incl. 300K PTVs"
789776068534120448,2016-10-22 10:31:02 +0000,rajivmccoy,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789775924568985600,2016-10-22 10:30:28 +0000,tiiony,"RT @Awesomics: Immunotherapy development is exploding, but not everyone responds to therapy. -@PersonalisInc at #ASHG16 #immunoonc… https://t.co/ahCKzCFeVP"
789775852271579136,2016-10-22 10:30:11 +0000,NandaGusriani,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789775239135789056,2016-10-22 10:27:44 +0000,r0ma_invicta,RT @razibkhan: #ASHG16 really striking signal for selec for height in n europeans (british) on height alleles
789774865771274241,2016-10-22 10:26:15 +0000,AnjaliStha6,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/6V6owmlE27
789772080413745152,2016-10-22 10:15:11 +0000,annaisystems,Goodbye #ASHG16! See you next year. @GeneticsSociety thanks for bring us all together and putting on an excellent e… https://t.co/5lBf1up2Vz
789771792973963265,2016-10-22 10:14:03 +0000,glyn_dk,"RT @varsome: Check our Poster #1737F NOW at #ASHG16. VarSome: A free knowledge base and aggregator for human genomic
variants. https://t.co/4fhdwB127p"
789769154559676416,2016-10-22 10:03:34 +0000,big_data_flow,"RT @jxchong: So BGI yeah you have big dataset, what about data sharing with wider research community??? #ASHG16"
789769031658110976,2016-10-22 10:03:05 +0000,manoliskellis,"RT @ElenaSorokin: Breaking news at #ASHG16 : Dan MacArthur on gnomAD, w. 120K whole exomes, 15K genomes; discovery of 159M novel variants incl. 300K PTVs"
789768977673252864,2016-10-22 10:02:52 +0000,manoliskellis,"RT @ksamocha: .@dgmacarthur Check out the beta website:

https://t.co/QI2APAkJmZ

No restrictions on publication.

#ASHG16"
789768674810929152,2016-10-22 10:01:39 +0000,hbdchick,RT @razibkhan: #ASHG16 1K samples show SDS selection in europeans (south) as well. just less. all over the world selection for height. ? #genetics
789768630133293056,2016-10-22 10:01:29 +0000,hbdchick,RT @razibkhan: #ASHG16 really striking signal for selec for height in n europeans (british) on height alleles
789768607702056960,2016-10-22 10:01:23 +0000,manoliskellis,RT @ldemare: Roger Pique-Regi: High-throughput ASE across 250 environmental conditions @genomeresearch https://t.co/pGrUsqTBSF  #ASHG16
789768331222024192,2016-10-22 10:00:18 +0000,hbdchick,"RT @razibkhan: #ASHG16 detect change in allele freq in recent human history. ancient DNA, pop differences, sig of local variation"
789768295574564868,2016-10-22 10:00:09 +0000,hbdchick,RT @razibkhan: #ASHG16 next field: natural selection globally for stature (paraphrase)
789767443166203904,2016-10-22 09:56:46 +0000,r0ma_invicta,RT @razibkhan: #ASHG16 @ras_nielsen natural selection acted on another gene because denisovan variant not available in africa.
789766450479239168,2016-10-22 09:52:49 +0000,hbdchick,RT @razibkhan: #ASHG16 @ras_nielsen natural selection acted on another gene because denisovan variant not available in africa.
789766121289318427,2016-10-22 09:51:31 +0000,hbdchick,RT @razibkhan: #ASHG16 @ras_nielsen adaptive introgression more common in human evolution than previous thought cc: @johnhawks :-)
789765995833528320,2016-10-22 09:51:01 +0000,maryavdy,"RT @scilahn: Have iPhone, will sequence with @nanopore smidgION incredible how small it is! #ASHG16 #NGS https://t.co/whvJvcUSm5"
789765953148116993,2016-10-22 09:50:51 +0000,maryavdy,"RT @jxchong: So BGI yeah you have big dataset, what about data sharing with wider research community??? #ASHG16"
789764996829941760,2016-10-22 09:47:03 +0000,hbdchick,"RT @razibkhan: #ASHG16 PRSS53, selected in e. asians and s. asians, associated with curly hair. in mice mutants have huge whiskers"
789764981499670529,2016-10-22 09:46:59 +0000,anymysha,RT @CellPressNews: #MicroRNA regulators of #anxiety and #metabolic disorders @TrendsMolecMed #ASHG16 https://t.co/lORORy02tL
789764960901537792,2016-10-22 09:46:54 +0000,hbdchick,"RT @razibkhan: #ASHG16 now talking about selection in PRSS53 in e. asia and s. asia. two different substitutions, but close."
789764913724030976,2016-10-22 09:46:43 +0000,hbdchick,"RT @razibkhan: #ASHG16 ok, wow, herc1 does a lot of things, like a lot of genes. so why selected? your guess is as good as mine."
789764844689952768,2016-10-22 09:46:26 +0000,hbdchick,"RT @razibkhan: #ASHG16 herc1 selected in e. asia. interesting, as herc2 blue eye related in europeans"
789764798565191680,2016-10-22 09:46:15 +0000,hbdchick,RT @razibkhan: #ASHG16 TGM3 causes curly hair? selected in africa. tyler-smith
789764621309767680,2016-10-22 09:45:33 +0000,hbdchick,RT @shramdas: SH: Hispanics have a lower intrinsic age acceleration than Caucasians in blood and saliva https://t.co/FHQoK5b3TC #ashg16
789764321035313152,2016-10-22 09:44:21 +0000,hbdchick,RT @razibkhan: #ASHG16 @ras_nielsen shows @FerRacimo haplotype plot. looks like TBX15/WARS2 also from denisovans in inuit. wow. they got around
789764303989661696,2016-10-22 09:44:17 +0000,r0ma_invicta,RT @michaelhoffman: XJ: Population stratification of Han Chinese following a north to south gradient [OK this is pretty cool] #ASHG16
789764178508673024,2016-10-22 09:43:47 +0000,hbdchick,RT @michaelhoffman: XJ: Population stratification of Han Chinese following a north to south gradient [OK this is pretty cool] #ASHG16
789764092106006528,2016-10-22 09:43:27 +0000,hbdchick,"RT @jxchong: So BGI yeah you have big dataset, what about data sharing with wider research community??? #ASHG16"
789763415434637312,2016-10-22 09:40:45 +0000,MrsLaviniaG,"RT @10xgenomics: 1,308,421 mouse brain cells to be exact - #ASHG16 #SingleCell https://t.co/FtrpXDM5Gt"
789762895227789312,2016-10-22 09:38:41 +0000,1RabP,RT @SamanthaLWilson: Come by my poster this afternoon to learn how to utilize DNAm profiles to help elucidate disease relationships… https://t.co/VtP1AvPaoK
789762648195813376,2016-10-22 09:37:43 +0000,mhjc_hjk,RT @10xgenomics: Now announcing our new #SingleCell Application for VDJ and TCR Sequencing at the @10xgenomics #ASHG16 Workshop
789761853434068993,2016-10-22 09:34:33 +0000,CancerWallonia,RT @NatureGenet: Web collection highlights reviews & research showing impact of variation on disease & bio https://t.co/jwM5BWYnhS… https://t.co/JEs2oEPQC7
789761603004686336,2016-10-22 09:33:33 +0000,yonemalinica1,RT @genome_gov: What is YOUR contribution to genomics? Stop by booth #517 to let us know! #GenomicsFuture #ASHG16 https://t.co/alu41ukDNW
789761566237483008,2016-10-22 09:33:25 +0000,yonemalinica1,RT @genome_gov: From rare disease to common disease. NHGRI folks propose a link between rare and common diseases at #ASHG16. This i… https://t.co/sxbj2fO2uh
789758023421992960,2016-10-22 09:19:20 +0000,Chris___Nowak,#ASHG16 representing our Molecular Epidemiology group at Uppsala University @UU_University https://t.co/Qq5OvTXGdR… https://t.co/KfdWpFTbLf
789757826566590464,2016-10-22 09:18:33 +0000,yonemalinica1,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789757212533067780,2016-10-22 09:16:07 +0000,ynancy,RT @michaelhoffman: AB: Tissue-specific networks: BicMix https://t.co/z6sDkM9lwv #ASHG16
789756715562508288,2016-10-22 09:14:08 +0000,beryl_bbc,"Just me, hanging out with my good friend Owen Wilson tonight, #ASHG16 has done me well :) https://t.co/usSiX2icyi"
789756663318220800,2016-10-22 09:13:56 +0000,CSHeartResearch,"RT @EricTopol: Crowdsourced personal genomes: update on DNA Land @dl1dl1, already w/ 32,000 people https://t.co/1CKYDhKWiK #ASHG16 https://t.co/r28n0H9zFO"
789752722488696832,2016-10-22 08:58:16 +0000,SergylB,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/6V6owmlE27
789752697813504000,2016-10-22 08:58:10 +0000,GaetanBurgio,RT @lachlancoin: We made a list of the preprints being presented at #ASHG16 : https://t.co/a8Ba2n6GMn   #ASAPbio
789750177196306432,2016-10-22 08:48:09 +0000,SeqComplete,The SeqComplete Daily&Nightly is out! https://t.co/UIVq2VfBKm #ashg16
789749728951033856,2016-10-22 08:46:22 +0000,KimberlyWoller,RT @skerfoot: Charlly Kao: Using @10xgenomics Linked-Reads to distinguish variants in PMS2 from PMS2CL #ASHG16
789746595839545344,2016-10-22 08:33:55 +0000,DoktorSoley,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789745452015058944,2016-10-22 08:29:23 +0000,heartscreening,Heart Screening News is out! https://t.co/HjJF3145FJ #heartscreening #microbiome #ashg16
789743205805854721,2016-10-22 08:20:27 +0000,FirasSadiyah,RT @Magda_Skipper: Bing Ren shows evidence that promoters may act as distal control elements of other genes #ASHG16
789742707992252416,2016-10-22 08:18:28 +0000,JuliaHorsfield,RT @makennedy101: Bing Ren - promoters may act as distal control elements of other genes via spatial proximity. #ASHG16
789742538617974785,2016-10-22 08:17:48 +0000,cathcoste,"RT @10xgenomics: 1,308,421 mouse brain cells to be exact - #ASHG16 #SingleCell https://t.co/FtrpXDM5Gt"
789739190250573824,2016-10-22 08:04:30 +0000,raronan1,RT @NanoporeConf: Congratulations Patricia Rizzu on winning a MinION! And a safe flight home from Vancouver to everyone at #ASHG16 https://t.co/A9RVjilF7g
789738676787945472,2016-10-22 08:02:27 +0000,scilahn,RT @bryan_howie: God bless Canada. #ASHG16 https://t.co/dd5BrOkOJ6
789737281481543680,2016-10-22 07:56:55 +0000,LemkerT,RT @10xgenomics: Now announcing our new #SingleCell Application for VDJ and TCR Sequencing at the @10xgenomics #ASHG16 Workshop
789737095699001344,2016-10-22 07:56:10 +0000,LemkerT,RT @10xgenomics: Tarjei Mikkelsen @10xgenomics showcasing our new 1.3 Million #SingleCell Dataset at #ASHG16 Workshop - WOW! https://t.co/5csbot1Gvm
789736088302747648,2016-10-22 07:52:10 +0000,chris_zie,RT @10xgenomics: Tarjei Mikkelsen @10xgenomics showcasing our new 1.3 Million #SingleCell Dataset at #ASHG16 Workshop - WOW! https://t.co/5csbot1Gvm
789734187750359040,2016-10-22 07:44:37 +0000,Sandi_Dheensa,"RT @michaelhoffman: XJ: 1000G projects, Genomics England, ExAC, HLI datasets all have limited Asian populations #ASHG16"
789733908002791424,2016-10-22 07:43:30 +0000,biopathology,The latest Biopathology! https://t.co/SUnR4vIaXw Thanks to @RainDanceTech #ashg16 #digitalpcr
789732546754076676,2016-10-22 07:38:06 +0000,SeqComplete,"Top story #ASHG16: Oxford Nanopore on Twitter: ""A human genome on the portable … https://t.co/rjHNnfaXXs, see more https://t.co/QOb0T4lSIk"
789732468857397248,2016-10-22 07:37:47 +0000,evotobi,"RT @mashaals: sadly missing #ASHG16 as visa processing since Aug, wonder how many others.. Thanks to @noiseandbias for graciously offering to give my talk"
789732295498469376,2016-10-22 07:37:06 +0000,korkutulucan,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789730698508787712,2016-10-22 07:30:45 +0000,ash9nov,"RT @ekta_khurana: 140,000 whole genomes at .1X coverage from China -- yes, not a joke ! #ASHG16"
789729610363658240,2016-10-22 07:26:26 +0000,AGDAYWILL,always a great night talking life and science with @jcbarret and @don_f_conrad #ashg16
789728820588838912,2016-10-22 07:23:17 +0000,drHamdiMbarek,"@JustinTrudeau @CitImmCanFR @CanAmbAustria
I was 3years #ASHG13.I've US & Can visas, still unbelievable  your rejec… https://t.co/ptgslq5PlI"
789728305280872448,2016-10-22 07:21:15 +0000,glyn_dk,"RT @NatalieTelis: To see full list of GWAS evaluated, our paper (@yair_field&@EvanAugustBoyle) is out: https://t.co/ozoJH9URld #ASHG16 https://t.co/tMLY4Nn5fn"
789728296623824896,2016-10-22 07:21:13 +0000,GregorGorjanc,"RT @lukejostins: Xin Jim on the Chinese Millionome Project, perhaps the maddest project at #ASHG16. Doing popgen on 0.1X WGS from 130k clinical trisomy tests"
789726293579497472,2016-10-22 07:13:15 +0000,anmenelaou,RT @bryan_howie: .@NatalieTelis is killing it with her analyses of gender representation at #ASHG16. You should follow along if you… https://t.co/jyRLnt1lgs
789723158819373056,2016-10-22 07:00:48 +0000,db777,"RT @EricTopol: Crowdsourced personal genomes: update on DNA Land @dl1dl1, already w/ 32,000 people https://t.co/1CKYDhKWiK #ASHG16 https://t.co/r28n0H9zFO"
789722996202090497,2016-10-22 07:00:09 +0000,EpigeneticsGuy,RT @SamanthaLWilson: Come by my poster this afternoon to learn how to utilize DNAm profiles to help elucidate disease relationships… https://t.co/VtP1AvPaoK
789722477534388226,2016-10-22 06:58:05 +0000,anasajoo,Session 60. bravo alison for shout out about CSciver's groundbreaking work on Tay Sachs screening in MTL J. high schools in 70s #ASHG16
789721694856290304,2016-10-22 06:54:59 +0000,vjess9,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789720489665015808,2016-10-22 06:50:11 +0000,sbmontgom,Awesome new video from my cousin Matts band. Very recognizable scenery for those at #ashg16. https://t.co/GSoAj07fOL Have a good last day!
789717712909979648,2016-10-22 06:39:09 +0000,AtheistNeoCon,RT @razibkhan: #ASHG16 @ras_nielsen shows @FerRacimo haplotype plot. looks like TBX15/WARS2 also from denisovans in inuit. wow. they got around
789717114827448321,2016-10-22 06:36:47 +0000,schilthuizen,"RT @EricTopol: Crowdsourced personal genomes: update on DNA Land @dl1dl1, already w/ 32,000 people https://t.co/1CKYDhKWiK #ASHG16 https://t.co/r28n0H9zFO"
789715587547082752,2016-10-22 06:30:42 +0000,razibkhan,"DNA data offer evidence of unknown extinct human relative https://t.co/JUtT9N3Q5T fwiw, lots of skepticism about claim in the room #ASHG16"
789715449743147010,2016-10-22 06:30:10 +0000,champ4autism,RT @Spectrum: Preliminary findings presented at  #ASHG16 highlight the diversity of genetic mutations that underlie autism. https://t.co/Tjns3YpeK5
789715327500201984,2016-10-22 06:29:40 +0000,LimEmilia,RT @NJL_NGS: Thank you Vancouver for the beautiful convention center. #ASHG16 https://t.co/lJhmcehXw9
789712200562642944,2016-10-22 06:17:15 +0000,jwestry33,RT @BCILifeSciences: Cheers to a successful #ASHG16. We look forward to seeing everyone in Orlando next year at #ASHG17 (if not sooner). Safe travels home.
789708444408225792,2016-10-22 06:02:19 +0000,saralpulit,RT @eperlste: I repeat this at every conference I go to: all grad students and postdocs need to be on Twitter. #ASHG16
789707860359933953,2016-10-22 06:00:00 +0000,Spectrum,Preliminary findings presented at  #ASHG16 highlight the diversity of genetic mutations that underlie autism. https://t.co/Tjns3YpeK5
789707695225835520,2016-10-22 05:59:21 +0000,razibkhan,"RT @EricTopol: Crowdsourced personal genomes: update on DNA Land @dl1dl1, already w/ 32,000 people https://t.co/1CKYDhKWiK #ASHG16 https://t.co/r28n0H9zFO"
789707246175256576,2016-10-22 05:57:34 +0000,mkrdonovan,RT @genome_gov: Researchers from @UCSDnews are hanging out at #ASHG16 talking #GenomicsFuture! Finding novel mutations and understa… https://t.co/3tSJV3S8o9
789704380354220032,2016-10-22 05:46:10 +0000,chicagofanamy,#ASHG16 As I prepare to pack up most useless item I brought to Vancouver 1) sunscreen. 2) sunglasses.
789704067555614721,2016-10-22 05:44:56 +0000,justincotney,Sooo want one of these! @HitachiGlobal #ASHG16 @GraveleyLab https://t.co/ALwfJedaaH
789703942795952128,2016-10-22 05:44:26 +0000,DNAmlin,RT @GeneticsGSA: Great to end today at #ASHG16 with a strong model org talk.
789703566579625984,2016-10-22 05:42:56 +0000,RDMOxford,RT @MUmapathysivam: .@MichaelMackley explaining UK patient views on returning secondary findings from genome sequencing at #ASHG16.… https://t.co/ko9KIwwjDz
789701345615970304,2016-10-22 05:34:07 +0000,wk181,RT @NatureGenet: Web collection highlights reviews & research showing impact of variation on disease & bio https://t.co/jwM5BWYnhS… https://t.co/JEs2oEPQC7
789698240887128064,2016-10-22 05:21:47 +0000,yeastyin,RT @jgreid: XJ: Mutation frequency of disease-relevant variations shows BRCA2 mutations more frequent in Chinese than Euro ancestry #ASHG16
789698111329308672,2016-10-22 05:21:16 +0000,konradjk,"RT @genetisaur: .@razibkhan At dinner: ""it was 10 days of @cdbustamante."" ""It's like the 12 days of xmas. But more animals."" #ashg16"
789697219381297152,2016-10-22 05:17:43 +0000,SergylB,RT @CellPressNews: #Chromatin structure profiling identifies crucial regulators of #tumor maintenance @trendscancer #ASHG16 https://t.co/OtN7GPvsYg
789696588692254720,2016-10-22 05:15:13 +0000,JMRothberg,"Design over 10 orders of magnitude @LamThera, @ButterflyNetInc, @HyperfineR  #Jobs #Biotech #Python #CRISPR #ASHG16 #makerspace @4Catalyzer"
